ID,First_Name,Last_Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
712,Matai,Akinmboni,4,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,541462,0.0
713,Julio,Soler Barreto,4,2,0,0,3,0.00,0,1,0,9,0,0,0.00,0.00,0.08,575901,1.0
714,Diego,Gómez Amarilla,6,3,1,2,30,1.16,0,13,1,507,0,4,0.82,1.98,9.28,514254,1.9
715,Ben,Godfrey,10,2,0,0,-1,0.02,0,10,0,158,0,2,0.00,0.02,6.22,198826,-0.3
716,Welington Damascena,Santos,17,2,0,0,14,0.16,1,10,0,478,0,6,0.04,0.20,11.63,500016,1.4
717,Antonín,Kinský,18,1,0,0,17,0.01,1,11,0,540,0,6,0.00,0.01,11.80,485055,2.8
718,Yang,Min-hyeok,18,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,623095,0.0
719,Joachim,Kayi-Sanda,17,2,0,0,2,0.00,0,1,0,12,0,0,0.00,0.00,0.22,620408,1.0
720,Emmanuel,Agbadou,20,2,0,1,45,0.32,4,22,1,1410,0,16,0.90,1.22,23.12,516939,2.8
721,Wayne,Hennessey,16,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,20066,0.0
722,Daniel,Adu-Adjei,4,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,590760,0.0
723,Dominic,Sadi,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,550596,0.0
724,Martin,Sherif,9,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,536241,0.0
725,Donyell,Malen,2,3,0,3,34,0.15,0,6,3,296,0,2,2.15,2.30,4.77,204646,2.4
726,Woyo,Coulibaly,11,2,0,0,1,0.04,0,6,0,107,0,1,0.04,0.08,2.48,488439,0.2
727,Callan,McKenna,4,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,568791,0.0
728,Zain,Silcott-Duberry,4,3,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.04,530121,1.0
729,Damola,Ajayi,18,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,574799,0.0
730,Romain,Esse,8,3,2,3,22,0.39,0,3,1,138,0,1,0.32,0.71,2.15,606921,3.1
731,Andrés,García,2,2,0,0,8,0.49,0,5,0,316,0,5,0.04,0.53,6.49,606798,1.1
732,Abdukodir,Khusanov,13,2,0,0,14,0.09,2,6,0,503,0,6,0.02,0.11,6.98,578153,2.3
733,Vitor,de Oliveira Nunes dos Reis,13,2,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.00,616222,1.0
734,Albert,Grønbæk,17,3,0,0,6,0.01,0,3,0,141,0,2,0.12,0.13,5.10,494779,1.5
735,Omar,Marmoush,13,4,1,12,73,1.71,8,12,7,1174,0,14,5.41,7.12,14.48,438234,4.6
736,Jack,Porter,1,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,616059,0.0
737,Michael,Kayode,5,2,1,0,27,0.70,2,5,0,523,0,6,0.19,0.89,6.66,607464,2.2
738,Joe,Knight,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,567121,0.0
739,Julian,Eyestone,5,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,535017,0.0
740,Elyh,Harrison,14,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,588555,0.0
741,Dante,Cassanova,18,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,501620,0.0
742,Marco,Asensio,2,3,2,6,44,1.16,3,8,3,740,0,9,4.43,5.59,11.11,174292,3.4
743,Eiran,Cashin,6,2,0,0,1,0.00,0,2,0,19,0,0,0.00,0.00,0.44,439135,0.5
744,Alex,Palmer,10,1,0,0,22,0.00,0,30,0,1170,0,13,0.00,0.00,24.64,112520,1.7
745,Nico,González Iglesias,13,3,1,0,31,0.48,6,7,1,760,0,9,0.45,0.93,8.99,465694,2.8
746,Patrick,Dorgu,14,2,0,1,18,1.27,2,12,0,840,1,10,0.43,1.70,10.26,596777,1.5
747,Kevin,Danso,18,2,0,0,16,0.12,1,18,0,842,0,9,0.40,0.52,17.19,135720,1.6
748,Mathys,Tel,18,3,2,2,42,1.55,2,20,2,908,0,11,2.96,4.51,17.39,511499,3.2
749,Nasser,Djiga,20,2,0,0,4,0.01,0,2,0,65,0,1,0.00,0.01,1.23,531170,0.8
750,Marshall,Munetsi,20,3,2,4,50,1.08,5,11,2,1077,0,12,3.32,4.39,14.59,433312,3.6
751,Mathis,Amougou,6,3,0,0,1,0.00,0,0,0,7,0,0,0.00,0.00,0.00,609640,1.0
752,Willian,Borges da Silva,9,3,0,0,13,0.72,1,3,0,251,0,2,0.28,1.00,4.45,47431,1.3
753,Isaac,Heath,9,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,496279,0.0
754,Aarón,Anselmino,7,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,622758,0.0
755,Coby,Ebere,9,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,504296,0.0
756,Chido,Obi,14,4,0,0,7,0.03,0,5,0,160,0,1,0.66,0.69,3.70,596047,1.0
757,Tyler,Fredricson,14,2,0,0,2,0.02,0,5,0,166,0,2,0.00,0.02,2.94,547676,1.0
758,Jack,Moorhouse,14,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,559684,0.0
759,Sékou,Koné,14,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,618873,0.0
760,Iwan,Morgan,5,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,533710,0.0
761,Shumaira,Mheuka,6,4,0,0,1,0.00,0,0,0,1,0,0,0.06,0.06,0.00,567119,1.0
762,Ishé,Samuels-Smith,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,536238,0.0
763,Hubert,Graczyk,14,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,439483,0.0
764,Mateus,Mané,20,4,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.00,647671,1.0
765,Claudio,Echeverri,13,3,0,0,1,0.01,0,0,0,5,0,0,0.00,0.01,0.45,575204,1.0
766,Benjamin,Fredrick,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,612534,0.0
767,Genesis,Antwi,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,591382,0.0
768,Dermot,Mee,14,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,461537,0.0
769,Sean,Neave,15,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,599303,0.0
770,Jimi,Gower,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,538182,0.0
771,Charlie,Tasker,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,547720,0.0
772,Jeremy,Monga,11,3,0,0,7,0.02,0,3,0,105,0,0,0.17,0.19,1.67,649208,1.0
773,Jack,Henry-Francis,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,514307,0.0
774,Freddie,Simmonds,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,604988,0.0
775,Harry,Howell,5,3,0,0,1,0.05,0,0,0,6,0,0,0.00,0.05,0.00,597320,1.0
776,Olabade,Aluko,11,2,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.04,619146,1.0
777,Jake,Evans,11,3,0,0,4,0.00,0,1,0,21,0,0,0.00,0.00,0.20,630664,1.0
778,Jay,Robinson,17,4,0,0,5,0.53,0,2,0,134,0,1,0.07,0.60,3.17,495024,1.2
779,Somto,Boniface,10,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,547693,0.0
780,Tom,Taylor,10,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,592712,0.0
781,Brayden,Clarke,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,563324,0.0
782,Reece,Welch,9,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,474907,0.0
783,Sammy,Braybrooke,11,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,519223,0.0
784,Jayden,Moore,17,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,494551,0.0
